return,volatility,sharpe
0.22581903536533715,0.17395203147224703,1.0107328662809436
0.2345197951221701,0.1741571801464855,1.0595015087346296
0.24325688479223725,0.17477118931565855,1.1057708398561688
0.2519939777334041,0.1757897675189737,1.1490656173238414
0.2607310844230629,0.17713500770833393,1.1896636760252803
0.269468168890225,0.17865310445272867,1.2284598667486126
0.2782052634267551,0.18033518711862806,1.2654505594442707
0.28694236838364984,0.1821767140758417,1.3006183012226729
0.29567945938003926,0.1841728974199719,1.3339609835198125
0.30441655312549404,0.18631876976529543,1.3654907309981756
0.3131536483364657,0.1886092218030179,1.3952321409358313
0.3218907456107308,0.19103905356834877,1.4232207526795322
0.3306278344613621,0.193603014200408,1.4495013707321232
0.3393649310841472,0.1962958525484255,1.4741265662388967
0.34810202622596764,0.19911274349257113,1.4971519200482002
0.3568391215174803,0.20215240223628175,1.5178603772357728
0.36557621530899265,0.20548450525334705,1.535766479910058
0.3743133103718198,0.20909507613598327,1.5510327472317202
0.3830504062151373,0.21296995107516917,1.563837548601328
0.3917875008998723,0.21710324151074908,1.5743086032317484
0.40052459599128376,0.22166228950237304,1.58134519307819
0.40926169097152926,0.22669479680002,1.5847813714421237
0.41799878765395554,0.232169983488949,1.5850403317596473
0.426735882018501,0.238057293477922,1.5825429102151847
0.4354729768369159,0.24432694628785007,1.5776932618098405
0.4442100718636236,0.25095028570684724,1.5708691893028097
0.45294716695798404,0.2579000628629271,1.5624159315236341
0.46168426209944874,0.2651506104665123,1.5526430860374851
0.4704213572576637,0.27267793688374037,1.5418238896127323
0.47915845242610416,0.2804597574119124,1.5301961906634518
0.4878955475993152,0.28847547730380413,1.517964548293827
0.496632642771548,0.29670614027708575,1.5053029989687776
0.5053697379472352,0.30513435331003,1.4923581465262266
0.51410683312491,0.31374419629574724,1.479252329140856
0.5228439283157,0.32252112360581414,1.4660866954364535
0.5315810235118166,0.33145186210703614,1.4529440880205375
0.5403181187251529,0.3405243104345243,1.439891672049743
0.5490552139968082,0.3497274408175149,1.4269832897019123
0.557792309030082,0.3590511997326446,1.4142615577059552
0.5665294042624341,0.3684864376795791,1.4017596075315726
0.5752664994053099,0.3780248892361321,1.3895024226227701
0.584003594640399,0.38778021365191545,1.377077983457244
0.5927406897624888,0.39784283198134984,1.3642087933556926
0.6014777851740863,0.40819002768446316,1.3510319894448442
0.610214880200285,0.418800694849775,1.3376646387877547
0.618951975330343,0.42965532320234,1.324205577367892
0.6276890704918274,0.4407358866274504,1.3107375369688063
0.6364261656670267,0.4520257700798857,1.297329056180555
0.6451632608572295,0.4635096786929117,1.2840363172902416
0.6539003560265667,0.47517354424232966,1.2709048374936227
