,AAPL,GOOGL,JPM,MSFT,NVDA
AAPL,1.0,0.4212464212231435,0.3043157924422348,0.41169523680547243,0.34426303326009816
GOOGL,0.4212464212231435,1.0,0.26277775287729804,0.39016337517015487,0.3911486439973174
JPM,0.3043157924422348,0.26277775287729804,1.0,0.26184501544713956,0.25484214024684987
MSFT,0.41169523680547243,0.39016337517015487,0.26184501544713956,1.0,0.5008624629114562
NVDA,0.34426303326009816,0.3911486439973174,0.25484214024684987,0.5008624629114562,1.0
