Date,AAPL,GOOGL,JPM,MSFT,NVDA
2023-05-23,169.1881103515625,121.55534362792969,127.56623077392578,307.9729309082031,30.660856246948242
2023-05-24,169.4642333984375,119.90894317626953,126.39883422851562,306.5954895019531,30.5109920501709
2023-05-25,170.59832763671875,122.4677963256836,126.70703125,318.38653564453125,37.9464111328125
2023-05-26,173.004638671875,123.58854675292969,127.89313507080078,325.1954345703125,38.91156005859375
2023-05-30,174.84878540039062,122.65624237060547,128.37876892089844,323.55426025390625,40.075531005859375
2023-05-31,174.7994384765625,121.86280059814453,126.74441528320312,320.7994384765625,37.800533294677734
2023-06-01,177.60020446777344,122.7058334350586,128.49085998535156,324.8925476074219,39.734825134277344
2023-06-02,178.4482879638672,123.64804077148438,131.18992614746094,327.6474304199219,39.29221725463867
2023-06-05,177.0972442626953,124.9770736694336,129.9010772705078,328.1749572753906,39.13636016845703
2023-06-06,176.7323455810547,126.26641082763672,130.1345672607422,325.9671630859375,38.619808197021484
2023-06-07,175.36154174804688,121.4958267211914,131.39541625976562,315.90521240234375,37.44572067260742
2023-06-08,178.0735626220703,121.13878631591797,131.43272399902344,317.7418212890625,38.47991943359375
2023-06-09,178.4581756591797,121.2280502319336,131.69424438476562,319.2363586425781,38.73971939086914
2023-06-12,181.24905395507812,122.6264877319336,131.68490600585938,324.1794128417969,39.4511604309082
2023-06-13,180.775634765625,122.81493377685547,132.6375274658203,326.5631103515625,40.989959716796875
2023-06-14,181.40682983398438,122.65624237060547,132.14254760742188,329.5426330566406,42.963417053222656
2023-06-15,183.4383544921875,124.06461334228516,133.63682556152344,340.0538330078125,42.61968994140625
2023-06-16,182.36341857910156,122.51738739013672,133.79559326171875,334.4172058105469,42.65864944458008
2023-06-20,182.45216369628906,122.09091186523438,133.11383056640625,330.23614501953125,43.77378845214844
2023-06-21,181.4166717529297,119.56182861328125,132.917724609375,325.8499755859375,43.011375427246094
2023-06-22,184.41465759277344,122.14051818847656,130.3587188720703,331.8578186035156,42.99139404296875
2023-06-23,184.0990753173828,121.33714294433594,129.6769561767578,327.276123046875,42.17603302001953
2023-06-26,182.70858764648438,117.36993408203125,129.99449157714844,321.004638671875,40.60026550292969
2023-06-27,185.4599609375,117.36002349853516,130.0038299560547,326.8366394042969,41.84328842163086
2023-06-28,186.633544921875,119.19485473632812,129.43409729003906,328.0870056152344,41.08488845825195
2023-06-29,186.9688262939453,118.12371826171875,133.95436096191406,327.3055114746094,40.79010772705078
2023-06-30,191.28826904296875,118.71879577636719,135.8315887451172,332.6685791015625,42.268959045410156
2023-07-03,189.79917907714844,118.91716003417969,136.92430114746094,330.17755126953125,42.37986755371094
2023-07-05,188.68479919433594,120.75198364257812,136.0121612548828,330.33380126953125,42.28395080566406
2023-07-06,189.15814208984375,119.12543487548828,134.66744995117188,333.3816833496094,42.07012176513672
2023-07-07,188.0437774658203,118.5006103515625,135.73004150390625,329.4253234863281,42.46979904174805
2023-07-10,186.00241088867188,115.49542999267578,136.49171447753906,324.1599426269531,42.147056579589844
2023-07-11,185.47972106933594,116.17977905273438,138.6263427734375,324.78509521484375,42.37187576293945
2023-07-12,187.1463623046875,117.9551010131836,139.31277465820312,329.4057922363281,43.867706298828125
2023-07-13,187.9056854248047,123.51911163330078,139.9897918701172,334.7396240234375,45.94108963012695
2023-07-14,188.0536346435547,124.39189147949219,140.83616638183594,337.2599792480469,45.4334831237793
2023-07-17,191.30801391601562,123.62821197509766,144.23081970214844,337.7386474609375,46.42470932006836
2023-07-18,191.05160522460938,122.74549865722656,144.49412536621094,351.1805419921875,47.4568977355957
2023-07-19,192.4026641845703,121.0296859741211,145.0489044189453,346.8725280761719,47.040225982666016
2023-07-20,190.4599151611328,118.22289276123047,146.83558654785156,338.852294921875,45.484439849853516
2023-07-21,189.2863311767578,119.03616333007812,145.7071533203125,335.82391357421875,44.27438735961914
2023-07-24,190.08517456054688,120.5337905883789,148.57521057128906,337.1329650878906,44.577152252197266
2023-07-25,190.94309997558594,121.20821380615234,147.46560668945312,342.8672790527344,45.6433219909668
2023-07-26,191.81097412109375,128.21034240722656,148.34951782226562,329.9626159667969,45.416500091552734
2023-07-27,190.5486602783203,128.33926391601562,146.71331787109375,323.0755615234375,45.86415100097656
2023-07-28,193.12257385253906,131.49322509765625,147.5502166748047,330.5487365722656,46.71348571777344
2023-07-31,193.73397827148438,131.63206481933594,148.53761291503906,328.1553649902344,46.69249725341797
2023-08-01,192.90562438964844,130.47166442871094,147.8041229248047,328.565673828125,46.470664978027344
2023-08-02,189.91749572753906,127.32764434814453,146.13031005859375,319.9300537109375,44.23442077636719
2023-08-03,188.52700805664062,127.39706420898438,147.02365112304688,319.10943603515625,44.480228424072266
2023-08-04,179.4739227294922,127.05985260009766,146.71331787109375,320.2035827636719,44.64509963989258
2023-08-07,176.3773193359375,130.4518280029297,147.40916442871094,322.47967529296875,45.38153076171875
2023-08-08,177.3141632080078,130.32286071777344,146.5816650390625,318.5135192871094,44.629112243652344
2023-08-09,175.72647094726562,128.59713745117188,144.6163330078125,314.7818908691406,42.52075958251953
2023-08-10,175.50950622558594,128.6269073486328,144.40005493164062,315.4656677246094,42.35489273071289
2023-08-11,175.56874084472656,128.49795532226562,145.2369842529297,313.5899963378906,40.82308578491211
2023-08-14,177.21791076660156,130.25344848632812,145.5378875732422,316.550048828125,43.71882629394531
2023-08-15,175.2329864501953,128.71617126464844,141.83291625976562,314.42034912109375,43.905677795410156
2023-08-16,174.364013671875,127.64502716064453,141.23109436035156,313.65673828125,43.4520378112793
2023-08-17,171.82611083984375,128.8550262451172,139.76414489746094,310.2109069824219,43.31014633178711
2023-08-18,172.30999755859375,126.4151840209961,140.08384704589844,309.8193054199219,43.26517868041992
2023-08-21,173.64312744140625,127.31770324707031,140.5634307861328,315.1056213378906,46.93031692504883
2023-08-22,175.01576232910156,128.02191162109375,137.64834594726562,315.6734619140625,45.63233184814453
2023-08-23,178.85714721679688,131.28492736816406,138.5792999267578,320.11785888671875,47.079200744628906
2023-08-24,174.1763916015625,128.71617126464844,138.44761657714844,313.23583984375,47.126155853271484
2023-08-25,176.3784942626953,128.81532287597656,138.2783966064453,316.18255615234375,45.9820556640625
2023-08-28,177.9387969970703,129.93606567382812,138.7579803466797,316.88739013671875,46.79841613769531
2023-08-29,181.81968688964844,133.46690368652344,139.88636779785156,321.4981994628906,48.74589157104492
2023-08-30,185.3055419921875,134.7661590576172,139.3221893310547,321.8702392578125,49.225521087646484
2023-08-31,185.52281188964844,135.05377197265625,137.60130310058594,320.8619079589844,49.31645584106445
2023-09-01,187.09291076660156,134.5479736328125,138.06211853027344,321.74298095703125,48.47110366821289
2023-09-05,187.32994079589844,134.6570587158203,136.53872680664062,326.5300598144531,48.510074615478516
2023-09-06,180.62477111816406,133.3577880859375,136.31304931640625,325.8741760253906,47.028114318847656
2023-09-07,175.3416290283203,134.1512451171875,135.1470184326172,322.9666442871094,46.20869064331055
2023-09-08,175.953857421875,135.2620849609375,135.25047302246094,327.23486328125,45.54015350341797
2023-09-11,177.11915588378906,135.79762268066406,135.84288024902344,330.82769775390625,45.14643478393555
2023-09-12,174.09735107421875,134.2305908203125,137.61073303222656,324.7875061035156,44.838645935058594
2023-09-13,172.03350830078125,135.58937072753906,137.6765594482422,328.98724365234375,45.45321273803711
2023-09-14,173.54437255859375,136.9679718017578,140.34716796875,331.5716857910156,45.54915237426758
2023-09-15,172.82347106933594,136.273681640625,139.9333953857422,323.2701110839844,43.86932373046875
2023-09-18,175.74652099609375,137.0770721435547,140.2248992919922,322.1345520019531,43.935279846191406
2023-09-19,176.832763671875,136.908447265625,140.04623413085938,321.7331848144531,43.489585876464844
2023-09-20,173.2974853515625,132.64369201660156,139.45382690429688,314.01904296875,42.2094841003418
2023-09-21,171.7569580078125,129.37075805664062,138.36302185058594,312.8050842285156,40.98833465576172
2023-09-22,172.606201171875,129.18231201171875,137.03709411621094,310.338134765625,41.5809211730957
2023-09-25,173.88011169433594,130.03526306152344,137.7141876220703,310.85699462890625,42.19248962402344
2023-09-26,169.81158447265625,127.51608276367188,136.28485107421875,305.5706787109375,41.8817138671875
2023-09-27,168.3007049560547,129.4699249267578,137.08413696289062,306.20697021484375,42.43832778930664
2023-09-28,168.55743408203125,131.2254180908203,138.7861785888672,307.03912353515625,43.05889129638672
2023-09-29,169.07095336914062,129.7873077392578,136.36947631835938,309.1046142578125,43.46860122680664
2023-10-02,171.5792236328125,133.07017517089844,135.1940460205078,315.02734375,44.750709533691406
2023-10-03,170.24610900878906,131.34442138671875,134.19728088378906,306.7943420410156,43.4865837097168
2023-10-04,171.49032592773438,134.13140869140625,134.79908752441406,312.2471008300781,44.010223388671875
2023-10-05,172.72471618652344,133.9628143310547,135.3674774169922,312.638671875,44.65677261352539
2023-10-06,175.27252197265625,136.4522247314453,137.4514923095703,320.3724365234375,45.73002243041992
2023-10-09,176.75375366210938,137.2853546142578,137.13888549804688,322.8785095214844,45.241363525390625
