Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,UNH,V
2023-05-23,169.18809509277344,114.98999786376953,121.55533599853516,144.4888916015625,127.56623840332031,308.6399841308594,30.660856246948242,136.5034637451172,451.9732666015625,219.51129150390625
2023-05-24,169.46424865722656,116.75,119.90894317626953,144.3506622314453,126.39883422851562,307.25958251953125,30.510990142822266,135.374755859375,453.28363037109375,217.2338409423828
2023-05-25,170.59837341308594,115.0,122.46780395507812,142.2774658203125,126.70701599121094,319.076171875,37.946407318115234,134.50518798828125,450.3329772949219,218.33834838867188
2023-05-26,173.00460815429688,120.11000061035156,123.58854675292969,142.22218322753906,127.89313507080078,325.8997802734375,38.91154861450195,134.514404296875,453.9341125488281,219.9315643310547
2023-05-30,174.84877014160156,121.66000366210938,122.65624237060547,142.2406005859375,128.37876892089844,324.2550964355469,40.075523376464844,132.4606170654297,452.3597717285156,216.63760375976562
2023-05-31,174.79945373535156,120.58000183105469,121.86280822753906,142.8763885498047,126.74439239501953,321.4942932128906,37.800537109375,131.8314971923828,459.326416015625,216.04139709472656
2023-06-01,177.60018920898438,122.7699966430664,122.7058334350586,142.39723205566406,128.49085998535156,325.59625244140625,39.73482131958008,133.18222045898438,465.3503112792969,221.387939453125
2023-06-02,178.44827270507812,124.25,123.6480484008789,144.63632202148438,131.18991088867188,328.3570556640625,39.29221725463867,135.5505828857422,470.9595031738281,223.62625122070312
2023-06-05,177.09722900390625,125.30000305175781,124.9770736694336,145.8802490234375,129.90109252929688,328.8857116699219,39.1363525390625,135.01400756835938,469.64910888671875,221.65187072753906
2023-06-06,176.73236083984375,126.61000061035156,126.26640319824219,145.75125122070312,130.13453674316406,326.67315673828125,38.619815826416016,133.6725311279297,459.63751220703125,223.0691375732422
2023-06-07,175.36155700683594,121.2300033569336,121.49583435058594,146.06451416015625,131.39540100097656,316.58941650390625,37.44572448730469,133.9593505859375,454.5091552734375,220.18569946289062
2023-06-08,178.07354736328125,124.25,121.13878631591797,147.66778564453125,131.4327392578125,318.4300231933594,38.479923248291016,135.4765625,462.1451416015625,218.01580810546875
2023-06-09,178.45816040039062,123.43000030517578,121.22805786132812,147.43746948242188,131.69424438476562,319.92791748046875,38.739715576171875,135.58753967285156,465.3408508300781,218.5143280029297
2023-06-12,181.24900817871094,126.56999969482422,122.6264877319336,147.3361053466797,131.6848907470703,324.8816223144531,39.4511604309082,134.52366638183594,464.369873046875,221.06539916992188
2023-06-13,180.77566528320312,126.66000366210938,122.81494140625,148.11012268066406,132.6375274658203,327.2704162597656,40.989959716796875,134.1998748779297,463.1632995605469,218.35789489746094
2023-06-14,181.4068145751953,126.41999816894531,122.65624237060547,148.8656768798828,132.14254760742188,330.25634765625,42.96342849731445,135.45803833007812,433.5150146484375,218.39698791503906
2023-06-15,183.43832397460938,127.11000061035156,124.06460571289062,150.8651580810547,133.6368408203125,340.7904052734375,42.61968994140625,137.33607482910156,441.00250244140625,221.06539916992188
2023-06-16,182.3634033203125,125.48999786376953,122.51739501953125,151.32589721679688,133.7956085205078,335.1414794921875,42.65864944458008,138.34445190429688,433.9977111816406,223.7435760498047
2023-06-20,182.4521484375,125.77999877929688,122.09091186523438,151.23373413085938,133.1138153076172,330.9513854980469,43.773780822753906,137.06777954101562,444.3155212402344,221.35861206054688
2023-06-21,181.4166717529297,124.83000183105469,119.56182861328125,151.00340270996094,132.917724609375,326.55572509765625,43.011375427246094,138.25196838378906,451.2823181152344,222.12100219726562
2023-06-22,184.41464233398438,130.14999389648438,122.14051055908203,152.60662841796875,130.35873413085938,332.5765075683594,42.99139404296875,138.72377014160156,453.45947265625,223.23529052734375
2023-06-23,184.0990753173828,129.3300018310547,121.33715057373047,152.4776611328125,129.67694091796875,327.9849853515625,42.176029205322266,137.34535217285156,451.5189514160156,224.36912536621094
2023-06-26,182.70855712890625,127.33000183105469,117.36993408203125,150.77304077148438,129.99444580078125,321.69989013671875,40.60026931762695,137.48410034179688,453.4689025878906,221.1924591064453
2023-06-27,185.45997619628906,129.17999267578125,117.36002349853516,150.45974731445312,130.00381469726562,327.5445251464844,41.843292236328125,138.7885284423828,456.7820129394531,222.208984375
2023-06-28,186.63352966308594,129.0399932861328,119.19485473632812,150.15567016601562,129.43411254882812,328.7976379394531,41.08488845825195,138.7607879638672,449.105224609375,222.81500244140625
2023-06-29,186.96885681152344,127.9000015258789,118.12371063232422,151.20608520507812,133.95436096191406,328.0144348144531,40.79011154174805,138.1964569091797,450.9888610839844,229.03146362304688
2023-06-30,191.2882843017578,130.36000061035156,118.71878814697266,152.5145263671875,135.83157348632812,333.38909912109375,42.26895523071289,140.37974548339844,454.9645080566406,232.1201171875
2023-07-03,189.79916381835938,130.22000122070312,118.91715240478516,150.51504516601562,136.9242706298828,330.8927001953125,42.37986755371094,141.0828399658203,452.3519287109375,232.59909057617188
2023-07-05,188.68479919433594,130.3800048828125,120.75198364257812,150.0174560546875,136.01214599609375,331.04931640625,42.2839469909668,140.8423309326172,446.0477294921875,234.045654296875
2023-07-06,189.15817260742188,128.36000061035156,119.12542724609375,148.9025115966797,134.6674346923828,334.1037902832031,42.07012176513672,140.61105346679688,444.287109375,233.48854064941406
2023-07-07,188.04376220703125,129.77999877929688,118.50060272216797,146.73715209960938,135.73004150390625,330.13885498046875,42.46980285644531,137.6598663330078,436.9226989746094,231.11338806152344
2023-07-10,186.0023956298828,127.12999725341797,115.49542999267578,146.97674560546875,136.49172973632812,324.86199951171875,42.147056579589844,137.71539306640625,438.3141174316406,232.78477478027344
2023-07-11,185.479736328125,128.77999877929688,116.1797866821289,146.16592407226562,138.62631225585938,325.4885559082031,42.37187576293945,136.99375915527344,438.16278076171875,235.12086486816406
2023-07-12,187.14639282226562,130.8000030517578,117.9551010131836,145.6591033935547,139.312744140625,330.1192626953125,43.867706298828125,137.7061309814453,427.57049560546875,236.74339294433594
2023-07-13,187.9057159423828,134.3000030517578,123.51910400390625,146.3317413330078,139.98980712890625,335.464599609375,45.94108581542969,137.79864501953125,423.83148193359375,237.81854248046875
2023-07-14,188.0536346435547,134.67999267578125,124.39189147949219,147.30845642089844,140.83612060546875,337.99041748046875,45.4334831237793,138.81626892089844,454.5196228027344,237.67193603515625
2023-07-17,191.3080291748047,133.55999755859375,123.62822723388672,146.57131958007812,144.23080444335938,338.47015380859375,46.42470932006836,137.83566284179688,458.2207946777344,238.48321533203125
2023-07-18,191.05157470703125,132.8300018310547,122.7455062866211,146.56207275390625,144.4940948486328,351.9411926269531,47.456905364990234,138.09469604492188,473.2903137207031,235.3358917236328
2023-07-19,192.40264892578125,135.36000061035156,121.0296859741211,146.26724243164062,145.0489044189453,347.6238098144531,47.040225982666016,139.03831481933594,476.79266357421875,235.97120666503906
2023-07-20,190.4598846435547,129.9600067138672,118.22289276123047,155.14981079101562,146.8355712890625,339.58624267578125,45.48444366455078,140.1656951904297,477.30377197265625,234.21182250976562
2023-07-21,189.2863311767578,130.0,119.03616333007812,156.81759643554688,145.7071533203125,336.55133056640625,44.27437973022461,142.37208557128906,479.4714660644531,233.85015869140625
2023-07-24,190.0851593017578,128.8000030517578,120.5337905883789,157.63766479492188,148.5752410888672,337.8631591796875,44.57715606689453,142.82827758789062,481.5066223144531,235.30657958984375
2023-07-25,190.94314575195312,129.1300048828125,121.20821380615234,158.84474182128906,147.46560668945312,343.60992431640625,45.64332580566406,143.1634063720703,483.6364440917969,233.3028106689453
2023-07-26,191.81094360351562,128.14999389648438,128.21034240722656,159.14877319335938,148.3495330810547,330.67730712890625,45.416500091552734,143.31239318847656,480.86297607421875,231.7487335205078
2023-07-27,190.5486602783203,128.25,128.33926391601562,160.0425567626953,146.71331787109375,323.7753601074219,45.86415481567383,141.60870361328125,478.2409973144531,229.14877319335938
